data,adresas,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2024-01-17,208 LA POUINIERE,44330.0,namas,95.0,4.0,0,164500.0,1732.0,4721.0,47.161184,-1.204188,44212000YI0078
2021-04-29,5009 LA POUINIERE,44330.0,namas,163.0,6.0,0,240000.0,1472.0,4728.0,47.159866,-1.204114,44212000YI0053
2025-10-01,5009 LA POUINIERE,44330.0,namas,163.0,6.0,0,260000.0,1595.0,4728.0,47.159866,-1.204114,44212000YI0053
2023-10-20,100 LA POUINIERE,44330.0,namas,85.0,3.0,0,237500.0,2794.0,4762.0,47.160915,-1.203649,44212000YI0229
2024-10-24,55 LA GOBINIERE,44330.0,namas,102.0,5.0,0,235000.0,2304.0,4789.0,47.184502,-1.319573,44212000IK0193
2022-06-17,15 LA GOBINIERE,44330.0,namas,122.0,5.0,1,319000.0,2615.0,4798.0,47.183802,-1.320368,44212000IK0154
2023-01-13,63 LA GOBINIERE,44330.0,namas,107.0,6.0,1,368000.0,3439.0,4805.0,47.184922,-1.319417,44212000IK0177
2021-08-16,67 LA BASSE TARAUDIERE,44330.0,namas,159.0,4.0,1,320500.0,2016.0,4893.0,47.185828,-1.319923,44212000IK0244
2023-12-27,5461 LA MANDINIERE,44330.0,namas,70.0,2.0,1,105000.0,1500.0,5091.0,47.183006,-1.32554,44212000HX0183
2021-08-25,5463 LA MANDINIERE,44330.0,namas,92.0,3.0,0,160000.0,1739.0,5095.0,47.182869,-1.325704,44212000HX0214
2021-04-01,5462 LA MANDINIERE,44330.0,namas,100.0,4.0,0,170000.0,1700.0,5125.0,47.183536,-1.325624,44212000HX0100
2023-06-30,6732 LA MANDINIERE,44330.0,namas,100.0,4.0,1,155000.0,1550.0,5228.0,47.183177,-1.327456,44212000HX0161
2024-11-27,5001 LA VICOMTIERE,44330.0,namas,110.0,4.0,1,215000.0,1955.0,5329.0,47.180308,-1.330991,44212000HX0126
2021-11-25,7599 LA GRAVOIRE,44330.0,namas,125.0,6.0,0,296200.0,2370.0,5379.0,47.159024,-1.195559,44212000YL0037
2021-01-27,5353 LA MAISON NEUVE,44330.0,namas,60.0,3.0,0,160000.0,2667.0,5473.0,47.208608,-1.248408,442120000A0989
2024-12-03,5457 VERA CRUZ,44330.0,namas,100.0,4.0,0,171000.0,1710.0,5521.0,47.182655,-1.332193,44212000HW0087
2021-08-06,8 LES ROSEAUX,44330.0,namas,142.0,6.0,1,315000.0,2218.0,5644.0,47.208426,-1.240143,442120000A1332
2022-03-03,5256 LES ROSEAUX,44330.0,namas,52.0,1.0,0,130000.0,2500.0,5856.0,47.210723,-1.241237,442120000A1269
2022-03-25,10 MOULIN BONDU,44330.0,namas,91.0,3.0,0,210000.0,2308.0,6243.0,47.211087,-1.229408,442120000A1282
