data,adresse,pasto_kodas,tipas,plotas_m2,kambariai,priklausiniai,kaina_eur,eur_m2,atstumas_m,latitude,longitude,sklypas
2024-09-19,1 AV JEAN BAPTISTE PERRIN,44300.0,butas,61.0,4.0,1,110000.0,1803.0,1107.0,47.228889,-1.515095,44109000BS0211
2021-10-25,20 RUE DES PERRINES,44300.0,butas,60.0,4.0,1,207200.0,3453.0,1107.0,47.228889,-1.515095,44109000BS0211
2022-10-12,16 RUE DES PERRINES,44300.0,butas,60.0,3.0,1,174000.0,2900.0,1107.0,47.228889,-1.515095,44109000BS0211
2022-12-15,5 RUE GAL BUAT,44000.0,butas,33.0,1.0,1,120770.0,3660.0,1107.0,47.233295,-1.535917,44109000BX0640
2025-07-02,4 AV JEAN BAPTISTE PERRIN,44300.0,butas,51.0,3.0,0,185000.0,3627.0,1107.0,47.228889,-1.515095,44109000BS0211
2021-10-26,1 AV JEAN BAPTISTE PERRIN,44300.0,butas,61.0,4.0,2,132500.0,2172.0,1107.0,47.228889,-1.515095,44109000BS0211
2023-05-31,5 RUE GAL BUAT,44000.0,butas,33.0,1.0,1,100000.0,3030.0,1107.0,47.233295,-1.535917,44109000BX0640
2021-02-24,16 RUE DES PERRINES,44300.0,butas,68.0,4.0,1,170000.0,2500.0,1107.0,47.228889,-1.515095,44109000BS0211
2021-01-13,20 RUE DES PERRINES,44300.0,butas,51.0,3.0,0,175000.0,3431.0,1107.0,47.228889,-1.515095,44109000BS0211
2021-07-15,2 AV JEAN BAPTISTE PERRIN,44300.0,butas,70.0,4.0,1,183500.0,2621.0,1107.0,47.228889,-1.515095,44109000BS0211
2023-12-20,2 AV JEAN BAPTISTE PERRIN,44300.0,butas,51.0,3.0,1,170000.0,3333.0,1107.0,47.228889,-1.515095,44109000BS0211
2022-09-28,20 RUE DES PERRINES,44300.0,butas,60.0,4.0,1,195000.0,3250.0,1107.0,47.228889,-1.515095,44109000BS0211
2021-07-15,14 RUE DES PERRINES,44300.0,butas,68.0,4.0,1,162000.0,2382.0,1107.0,47.228889,-1.515095,44109000BS0211
2022-01-07,1 AV JEAN BAPTISTE PERRIN,44300.0,butas,60.0,4.0,1,215000.0,3583.0,1107.0,47.228889,-1.515095,44109000BS0211
2023-01-27,5 RUE GAL BUAT,44000.0,butas,30.0,2.0,1,110000.0,3667.0,1107.0,47.233295,-1.535917,44109000BX0640
2021-07-22,16 RUE DES PERRINES,44300.0,butas,61.0,4.0,1,175000.0,2869.0,1107.0,47.228889,-1.515095,44109000BS0211
2022-08-22,20 RUE DES PERRINES,44300.0,butas,60.0,4.0,1,180000.0,3000.0,1107.0,47.228889,-1.515095,44109000BS0211
2025-04-25,19 BD STALINGRAD,44000.0,butas,158.0,5.0,2,650000.0,4114.0,1107.0,47.218655,-1.539977,44109000ES0300
2021-06-02,14 RUE DES PERRINES,44300.0,butas,67.0,4.0,2,185000.0,2761.0,1107.0,47.228889,-1.515095,44109000BS0211
2021-08-06,12 RUE FREDERIC CAILLIAUD,44000.0,butas,108.0,4.0,1,480000.0,4444.0,1108.0,47.219249,-1.540623,44109000ES0155
2021-05-20,12 RUE FREDERIC CAILLIAUD,44000.0,butas,27.0,2.0,0,128000.0,4741.0,1108.0,47.219249,-1.540623,44109000ES0155
2023-02-21,32 RUE GAL BUAT,44000.0,butas,29.0,2.0,1,126100.0,4348.0,1109.0,47.232603,-1.537466,44109000BY0259
2023-01-25,32 RUE GAL BUAT,44000.0,butas,48.0,2.0,1,190000.0,3958.0,1109.0,47.232603,-1.537466,44109000BY0259
2021-09-09,140 RUE GAL BUAT,44000.0,butas,42.0,3.0,0,220000.0,5238.0,1109.0,47.227547,-1.542506,44109000BZ0189
2023-07-07,26 AV DES TROPIQUES,44300.0,namas,89.0,6.0,0,425000.0,4775.0,1111.0,47.224006,-1.513769,44109000BT0338
2025-10-23,8 PL ROSA PARKS,44000.0,butas,72.0,4.0,1,126000.0,1750.0,1112.0,47.214787,-1.529342,44109000CP0500
2025-04-15,8 PL ROSA PARKS,44000.0,butas,52.0,2.0,1,165000.0,3173.0,1112.0,47.214787,-1.529342,44109000CP0500
2025-05-26,8 PL ROSA PARKS,44000.0,butas,72.0,4.0,1,146000.0,2028.0,1112.0,47.214787,-1.529342,44109000CP0500
2022-03-07,8 PL ROSA PARKS,44000.0,butas,72.0,4.0,1,250000.0,3472.0,1112.0,47.214787,-1.529342,44109000CP0500
2021-10-14,18 PL ROSA PARKS,44000.0,butas,45.0,2.0,1,160000.0,3556.0,1112.0,47.214787,-1.529342,44109000CP0500
2022-07-07,18 PL ROSA PARKS,44000.0,butas,45.0,2.0,1,170000.0,3778.0,1112.0,47.214787,-1.529342,44109000CP0500
2025-10-22,18 PL ROSA PARKS,44000.0,butas,63.0,3.0,1,127000.0,2016.0,1112.0,47.214787,-1.529342,44109000CP0500
2022-01-20,18 PL ROSA PARKS,44000.0,butas,45.0,2.0,1,175000.0,3889.0,1112.0,47.214787,-1.529342,44109000CP0500
2022-04-22,8 PL ROSA PARKS,44000.0,butas,85.0,4.0,1,238000.0,2800.0,1112.0,47.214787,-1.529342,44109000CP0500
2025-09-10,8 PL ROSA PARKS,44000.0,butas,52.0,2.0,1,158000.0,3038.0,1112.0,47.214787,-1.529342,44109000CP0500
2022-10-10,18 PL ROSA PARKS,44000.0,butas,45.0,2.0,1,155000.0,3444.0,1112.0,47.214787,-1.529342,44109000CP0500
2025-02-28,40 RUE GAL BUAT,44000.0,namas,156.0,4.0,3,885000.0,5673.0,1112.0,47.232364,-1.537945,44109000BY0263
2023-02-02,18 PL ROSA PARKS,44000.0,butas,106.0,5.0,1,336350.0,3173.0,1112.0,47.214787,-1.529342,44109000CP0500
2022-09-23,158 BD DES POILUS,44300.0,butas,38.0,2.0,2,160000.0,4211.0,1113.0,47.233922,-1.534309,44109000AZ0415
2023-05-30,158 BD DES POILUS,44300.0,butas,48.0,2.0,2,160000.0,3333.0,1113.0,47.233922,-1.534309,44109000AZ0415
